Category,AnoSeg \cite{JouwonSong.2021},AST \cite{Rudolph.14.10.2022},CFA \cite{Lee.09.06.2022},CFLOW-AD+AltUB \cite{Kim.26.10.2022},CFLOW-AD \cite{Gudovskiy.27.07.2021},CS-FLOW \cite{Rudolph.06.10.2021},CutPaste+SSPCAB \cite{Ristea.17.11.2021},CutPaste \cite{Li.08.04.2021},DAGAN \cite{Tang.2020},DifferNet \cite{Rudolph.28.08.2020},DRAEM+SSMCTB \cite{Madan.25.09.2022},DRÆM+SSPCAB \cite{Ristea.17.11.2021},DRÆM \cite{Zavrtanik.17.08.2021},EdgRec \cite{Liu.26.10.2022},FAPM \cite{Kim.14.11.2022},FastFlow \cite{Yu.15.11.2021},FYD \cite{Zheng.09.10.2021},Gaussian AD \cite{OliverRippel.2021},MemSeg \cite{Yang.02.05.2022},MSPB \citet{C.C.Tsai.2022},N-pad \cite{Jang.17.10.2022},NSA \cite{Schluter.30.09.2021},OCR-GAN \cite{Liang.01.03.2022},Patch SVDD \cite{Yi.2020},PatchCore \cite{Roth.15.06.2021},PFM \cite{Wan.2022b},PNI \cite{Bae.23.11.2022},Reverse Distillation \cite{Deng.},SOMAD \cite{Li.21.07.2021},STPMDisc \cite{Yamada.14.10.2022}
Bottle,98,100.0,100.0,100.0,100.0,99.8,99.1,100.0,98.3,99.0,99.4,98.4,99.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.7,99.6,98.6,100.0,100.0,100.0,100.0,100.0,100.0
Cable,98,98.5,99.8,97.8,97.59,99.1,83.6,93.9,66.5,95.9,94.1,96.9,91.8,97.9,99.5,100.0,95.3,95.0,98.2,98.8,99.54,94.5,99.1,90.3,99.5,98.8,99.78,95.0,98.8,99.6
Capsule,84,99.7,99.2,98.1,97.68,97.1,97.6,94.3,68.7,86.9,97.1,99.3,98.5,95.5,98.6,100.0,92.5,95.1,100.0,97.2,99.4,95.2,96.2,76.7,98.1,95.0,99.52,96.3,93.8,93.0
Carpet,96,97.5,99.5,99.2,98.73,100.0,96.8,100.0,90.3,92.9,96.8,98.2,97.0,97.4,99.3,100.0,98.8,100.0,99.6,93.4,99.27,95.6,99.4,92.9,98.7,100.0,100.0,98.9,100.0,98.7
Grid,99,99.1,99.9,100.0,99.6,99.0,99.9,98.8,86.7,84.0,100.0,100.0,99.9,99.7,98.0,99.7,98.9,89.7,100.0,100.0,98.67,99.9,99.6,94.6,98.2,98.0,100.0,100.0,93.9,100.0
Hazelnut,98,100.0,100.0,100.0,99.98,99.6,98.4,99.7,100.0,99.3,100.0,100.0,100.0,98.4,100.0,100.0,99.9,99.1,100.0,99.6,100.0,94.7,98.5,92.0,100.0,100.0,97.19,99.9,100.0,99.8
Leather,99,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.4,97.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.3,100.0,99.9,97.1,90.9,100.0,100.0,98.87,100.0,100.0,100.0
Metal Nut,95,98.5,100.0,99.5,99.26,99.1,99.9,98.7,81.5,96.1,100.0,100.0,98.7,97.3,100.0,100.0,99.9,94.7,100.0,97.8,100.0,98.7,99.5,94.0,100.0,100.0,99.72,100.0,99.7,100.0
Pill,87,99.1,97.9,96.0,96.82,98.6,96.6,91.3,76.8,88.8,98.8,99.8,98.9,99.0,96.0,99.4,94.5,88.7,99.0,97.7,98.0,99.2,98.3,86.1,96.6,96.5,100.0,96.6,98.6,98.1
Screw,97,99.7,97.3,91.7,91.89,97.6,90.8,86.0,100.0,96.3,99.0,97.9,93.9,89.9,95.2,97.8,90.1,85.2,97.8,94.1,97.4,90.2,100.0,81.3,98.1,91.8,100.0,97.0,95.5,96.8
Tile,98,100.0,100.0,99.9,99.88,100.0,95.0,98.9,96.1,99.4,100.0,100.0,99.6,100.0,99.4,100.0,98.8,99.8,100.0,96.2,100.0,100.0,95.5,97.8,98.7,99.6,98.58,99.3,98.7,99.9
Toothbrush,99,96.6,100.0,99.4,99.65,91.9,99.6,92.8,95.0,98.6,100.0,100.0,100.0,100.0,100.0,94.4,100.0,96.9,100.0,100.0,100.0,100.0,98.7,100.0,100.0,88.6,100.0,99.5,98.6,97.9
Transistor,96,99.3,100.0,95.2,95.21,99.3,97.3,95.6,79.5,91.1,96.0,92.9,93.1,99.8,100.0,99.8,99.2,95.5,99.2,98.9,99.58,95.1,98.3,91.5,100.0,97.8,99.96,96.7,94.5,98.3
Wood,99,100.0,99.7,99.0,99.12,100.0,99.1,99.8,97.9,99.8,100.0,99.5,99.1,94.0,99.3,100.0,99.4,99.6,99.6,99.7,99.56,97.5,95.7,96.5,99.2,99.5,99.39,99.2,99.2,99.3
Zipper,99,99.1,99.6,98.5,98.48,99.7,99.9,99.9,78.1,95.1,100.0,100.0,100.0,98.3,99.5,99.5,97.5,97.9,100.0,99.5,99.34,99.8,99.0,97.9,99.4,97.4,99.82,98.5,97.7,99.3
